id,text,source_url,comment_id,created_at,collection_source,post_text,apify_dataset_id,apify_run_id
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI4NzQ1NDk4MzI4MzgzNjY4,Mikoz mita mwaitha God bless you,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI4NzQ1NDk4MzI4MzgzNjY4,2026-06-29T16:59:33.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE4MTUxNjYxODYzMTI5Mzc=,Ndimafuna kutumisa koma ndalamayo ndakulila mofaya,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE4MTUxNjYxODYzMTI5Mzc=,2026-06-29T16:49:46.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzQ1MzAyOTQxOTcyNDg5ODg=,Mkanasonkha koma anthu awa akakhala kumeneko amadziva 😀😀😀,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzQ1MzAyOTQxOTcyNDg5ODg=,2026-06-29T16:50:29.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzMjkxMDcwOTkxOTk0NzE=,Mumakwana a Malawi🔥🔥,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzMjkxMDcwOTkxOTk0NzE=,2026-06-29T16:44:45.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzIzODY0MTk4MzUyMTc0NjQ=,Tikuyenera kupanga izizi osati zinazo,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzIzODY0MTk4MzUyMTc0NjQ=,2026-06-29T16:44:35.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzA3MTY0MjY1OTE5NTI=,God bless you Mikozi,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzA3MTY0MjY1OTE5NTI=,2026-06-29T17:01:04.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNzE3NDA3OTgxODc4Mjc=,K200 Ndi Ndalama Nanga 1 Million Kuchosapo K200 Singakhaleso 1 Million,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNzE3NDA3OTgxODc4Mjc=,2026-06-29T16:44:59.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1NTI1MjEwMjI4MDYzNDg=,Ine ndie ndizitenga kt,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1NTI1MjEwMjI4MDYzNDg=,2026-06-29T16:53:55.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk0NTU0OTk4MTgyNTkwMw==,Zkuyenda mwachangutu,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk0NTU0OTk4MTgyNTkwMw==,2026-06-29T16:48:35.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1Mzk3NzczNTQ2MDk2NzY=,1% yomwe tatsala nayo bano aliyese mpano ali paka paka kuthawa kt mwina kpn akabisale 🥲,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1Mzk3NzczNTQ2MDk2NzY=,2026-06-29T17:00:38.000Z,apify/facebook-comments-scraper,,,
